"months" "stock" "n.train" "auc" "cutoff" "accuracy" "pos.pre.val" "neg.pre.val" "precision" "days.test" "days.trade" "money20" "money20.day" "trend.up" "model"
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
-25 "GSPC" 1000 0.558972300281011 0.5 0.53 0.536585365853659 0.5 0.536585365853659 500 500 -460 -0.9 0.53 "glmnet_Feb17"
-25 "GSPC" 1000 0.558972300281011 0.6 0.615 0.613756613756614 0.636363636363636 0.613756613756614 500 200 428 0.9 0.53 "glmnet_Feb17"
-25 "GSPC" 1000 0.558972300281011 0.620139506639628 0.65 0.646153846153846 0.7 0.646153846153846 500 140 476 1 0.53 "glmnet_Feb17"
-24 "FSTE" 1000 0.712623169535935 0.5 0.666 0.678571428571428 0.65 0.678571428571429 500 500 1988 4 0.534 "glmnet_Feb17"
-24 "FSTE" 1000 0.712623169535935 0.6 0.732600732600733 0.713414634146341 0.761467889908257 0.713414634146341 500 273 1740 3.5 0.534 "glmnet_Feb17"
-24 "FSTE" 1000 0.712623169535935 0.600897656894969 0.738007380073801 0.717791411042945 0.768518518518518 0.717791411042945 500 271 1780 3.6 0.534 "glmnet_Feb17"
